Date,A,B,C,D,E,F,G,H,Mkt_RF,SMB,HML,RF,WML
2010-04-01,0.03070069,0.0031,0,0.021081299,0.007376584,0.035215224,-0.014,0.014226385,0.0048,0.0382,0.0082,0.0001,0.0177
2010-05-01,-0.043917341,-0.0408,-0.097963143,-0.092363924,-0.044217048,0.003289808,-0.115618661,-0.08651333,-0.0954,0.0012,-0.0249,0.0001,-0.0073
2010-06-01,-0.017235594,-0.0079,-0.027956989,-0.047235525,0.024260878,0.014197823,0.001146789,-0.038340486,-0.0315,0.0033,-0.0269,0.0001,-0.0089
2010-07-01,0.013859186,0.0185,0.088495575,0.084304318,0.031933257,0.03269782,0.098510882,0.071804027,0.0821,-0.0157,0.0129,0.0001,0.0029
2010-08-01,-0.008623926,-0.0153,-0.046747967,-0.048672566,-0.028807732,0.050221089,-0.02919708,-0.047746831,-0.039,-0.0024,-0.0192,0.0001,0.023
2010-09-01,0.060545184,0.0419,0.107675906,0.106090808,0.076547699,0.032084575,0.104189044,0.101642212,0.0985,0.0151,-0.016,0.0001,0.0234
2010-10-01,0.027719221,0.0144,0.041385948,0.035843012,0.037685539,0.018104398,0.035019455,0.042603863,0.0394,-0.0007,-0.0123,0.0001,0.0051
2010-11-01,0.018976024,-0.0034,-0.034195933,-0.006282621,0.010107066,-0.03538943,-0.054511278,-0.002199662,-0.0217,0.0205,-0.0074,0.0001,0.043
2010-12-01,0.017171823,0.0193,0.089272823,0.082190448,-0.004918172,0.001697947,0.074353877,0.074190266,0.076,0.0205,0.0179,0.0001,-0.004
2011-01-01,0.000835428,0.009,0.03008205,0.016897358,0.006817213,-0.004903593,0.021373057,0.01199779,0.0213,-0.0165,0.0281,0.0001,-0.016
2011-02-01,0.021482278,0.014,0.041592973,0.034735726,0.0314854,0.02138403,0.018298759,0.038374542,0.0349,0.0015,0.0047,0.0001,0.0122
2011-03-01,0.042028663,0.0037,-0.014443528,0.005808491,0.043899237,0.001608196,-0.002757762,0.007811913,-0.0068,0.0132,-0.0158,0.0001,0.0132
2011-04-01,0.034323949,0.0184,0.052586217,0.034819533,0.04802704,0.046295195,0.063871543,0.038682269,0.0447,-0.0073,-0.0183,0,0.0151
2011-05-01,0.015915486,-0.0135,-0.028665052,-0.020845302,0.032850821,0.018613771,-0.026245179,-0.016862801,-0.021,-0.0051,-0.0133,0,0.0031
2011-06-01,0.003571097,-0.0124,-0.013490704,-0.018942251,0.01619345,0.000781163,-0.016447085,-0.017735932,-0.0152,-0.0042,0.0049,0,0.0146
2011-07-01,-0.028399259,-0.0102,-0.030769223,-0.02605724,-0.012362441,0.0625,-0.016722115,-0.023629068,-0.017,0.0122,-0.0218,0,0.0201
2011-08-01,-0.021132323,-0.053,-0.095238071,-0.080263158,0.048694016,0.009812667,-0.074436827,-0.069101979,-0.0752,-0.0059,-0.018,0.0001,-0.0085
2011-09-01,-0.02552846,-0.0382,-0.093567288,-0.106533143,0.008693252,-0.028814176,-0.096969697,-0.09793983,-0.092,-0.0129,0.0074,0,-0.0286
2011-10-01,0.041186731,0.0444,0.111827988,0.119235696,0.045280438,0.041012333,0.082667519,0.119902121,0.1001,-0.0213,-0.0192,0,-0.0133
2011-11-01,0.016915496,-0.0187,-0.015473863,-0.014973772,0.01590106,-0.010305304,-0.022827905,-0.012867201,-0.0264,-0.0106,-0.0075,0,0.0453
2011-12-01,0.010520381,-0.0067,0.001871314,-0.005712626,0.016940419,0.025109709,-0.022152855,-0.000491884,-0.0044,-0.0049,0.0181,0,0.0205
2012-01-01,0.007931956,0.0338,0.046138434,0.065731814,0.000380035,0.047292163,0.044588611,0.051427165,0.0561,0.0215,-0.0077,0,-0.0677
2012-02-01,0.024030645,0.0348,0.055608807,0.046418129,0.034506775,0.009892369,0.041600946,0.043841173,0.0493,-0.0081,-0.0031,0,-0.0262
2012-03-01,0.025079369,0.0131,0.009990955,0.012486902,0.049513434,-0.016477463,0.007760742,0.017263284,0.0124,-0.0038,0.0004,0,0.0358
2012-04-01,0.018015997,-0.0093,-0.025179873,-0.013626563,0.009680429,0.022792578,-0.011551465,-0.009036145,-0.0111,0.0023,-0.0168,0,0.0486
2012-05-01,-0.015396332,-0.0425,-0.092250935,-0.086036548,-0.013284048,0.009594781,-0.10175772,-0.07480169,-0.0888,-0.0052,0.0008,0.0001,0.0625
2012-06-01,0.001069829,0.0145,0.064024386,0.046015498,-0.001990166,0.006697323,0.063147874,0.042708333,0.0485,-0.0148,0.0143,0,-0.0099
2012-07-01,0.01336279,0.0036,0.014326677,0.003109566,0.018064516,0.038393966,0.013332007,0.003919158,0.0085,-0.0161,-0.0104,0,0.0372
2012-08-01,0.015479026,0.0156,0.032015024,0.02908461,-0.012559051,0.007918246,0.032302405,0.029240661,0.0278,-0.0025,0.0061,0.0001,-0.0171
2012-09-01,0.012857316,0.0171,0.02098541,0.033578453,0.016861144,0.012690526,0.026536047,0.028930537,0.0307,0.0107,0.0121,0.0001,-0.0127
2012-10-01,-0.007146378,-0.0066,-0.000893674,-0.004285959,-0.016983189,-0.005105424,0.00667099,-0.011998554,-0.0043,-0.0076,0.0234,0.0001,0
2012-11-01,0.029236515,0.0052,0.022361406,0.011621901,0.024981031,0.02010441,0.01988035,0.009510571,0.0132,-0.0119,0.0012,0.0001,0.0106
2012-12-01,0.000303916,0.0172,0.035122296,0.031316484,-0.017766642,0.001698606,0.023824565,0.021378361,0.023,0.0124,0.0351,0.0001,-0.018
2013-01-01,0.051251582,0.0392,0.058303885,0.051819457,0.046669372,-0.006804644,0.040017629,0.048602242,0.0546,0.0017,0.0197,0,0.0017
2013-02-01,0.030859809,0.0008,-0.006677803,0.004000941,0.022820428,0.002101346,-0.010763624,0.004465796,0.0009,0.0032,-0.0073,0,0.032
2013-03-01,0.044256203,0.0138,0.026890783,0.029145179,0.037095202,0.011096306,0.022618232,0.030447962,0.023,0.0085,-0.0186,0,0.0378
2013-04-01,0.001622827,0.0106,0.034369864,0.017462607,0.015195029,0.029704681,0.03627681,0.011897758,0.0302,-0.0115,0.009,0,0.0308
2013-05-01,0.004463803,0.0141,0.001582298,0.01268562,-0.030603847,-0.057003189,-0.036704665,0.013631372,0.0056,-0.0065,0.009,0,-0.0147
2013-06-01,-0.009135657,-0.0128,-0.018957365,-0.020484857,-0.004403884,-0.072596614,-0.030130088,-0.019056724,-0.0252,0.0022,-0.0002,0,0.008
2013-07-01,0.036641058,0.0235,0.055555547,0.055367487,0.018013217,0.028308224,0.053911388,0.054447404,0.0558,0.0011,0.0044,0,0.0164
2013-08-01,-0.002070721,-0.006,-0.032036594,-0.02558985,-0.048005444,-0.016797312,-0.017571229,-0.023784583,-0.0183,0.012,-0.0077,0,-0.0132
2013-09-01,0.031898766,0.0345,0.044917275,0.053547915,0.016717075,0.030182232,0.067948182,0.05017989,0.0552,0.0219,-0.0059,0,0.0333
2013-10-01,0.038068417,0.0094,0.03921569,0.039369532,0.086483855,0.030311406,0.02394741,0.034559442,0.0371,-0.0172,0.0195,0,0.003
2013-11-01,0.018389775,0.0161,0.022496352,0.020041419,0.010902031,-0.01330144,0.00489147,0.023703015,0.0182,-0.0022,-0.001,0,0.0215
2013-12-01,0.014473252,0.0248,0.025711621,0.022332831,-0.000787906,-0.005890749,0.018634013,0.009307077,0.0218,-0.0024,-0.0031,0,0.0111
2014-01-01,-0.020036392,-0.0172,-0.033448668,-0.036963485,-0.049923611,0.000182328,-0.039348914,-0.042057914,-0.0329,0.0286,-0.0016,0,0.0127
2014-02-01,0.037492982,0.0266,0.052505974,0.049291559,0.017896047,0.041699897,0.06443339,0.051710982,0.0506,-0.0101,0.0006,0,0.015
2014-03-01,0.019780697,-0.0246,-0.002267571,0.009509319,0.041991541,0.003303073,-0.000803213,0.003739257,0.0015,-0.0045,0.0286,0,-0.0231
2014-04-01,0.021878017,-0.0184,0.001136393,0.001067571,-0.001075952,0.021104958,0.01571178,-0.00205727,0.0055,-0.0273,0.0118,0,-0.0339
2014-05-01,0.021593583,0.014,0.019296263,0.017376576,0.009694002,0.026497843,0.012374991,0.017717852,0.0175,-0.0108,-0.0049,0,0.0054
2014-06-01,0.004324372,0.0026,0.017817352,0.025588852,-0.033021384,0.014602184,0.008386042,0.025566627,0.0201,0.022,-0.0025,0,0.003
2014-07-01,-0.022666059,-0.0064,-0.021881873,-0.023567607,-0.000752181,-0.006191443,-0.026499401,-0.026103667,-0.0205,-0.0109,0.0032,0,0.0052
2014-08-01,0.015978549,0.004,0.027964266,0.029985838,0.016761178,0.026095926,0.003113009,0.029653585,0.0193,-0.0055,-0.0076,0,0.004
2014-09-01,-0.015020258,-0.0051,-0.036996752,-0.040052606,0.030107102,-0.042098914,-0.041931293,-0.026404046,-0.0309,-0.0273,-0.0083,0,0.0108
2014-10-01,0.026666411,-0.0121,0.007909565,0.013575788,0.063820612,0.013096587,-0.004896422,0.021050905,0.0033,-0.0038,-0.0281,0,-0.0014
2014-11-01,0.031726324,0.0156,0.023542606,0.010199066,0.035400622,0.012595815,0.008175625,0.014672807,0.0165,-0.0225,-0.02,0,0.0098
2014-12-01,0.005703076,-0.0002,-0.019157238,-0.009001338,0.010874766,-0.02528745,-0.034389548,-0.017996622,-0.0144,0.0165,0.0004,0,0.0112
2015-01-01,0.018798095,-0.0035,0,-0.021480299,0.019923405,0.034801226,0.010653188,-0.023002096,-0.0174,0.0002,-0.0249,0,0.039
2015-02-01,0.027593342,0.0216,0.052697577,0.059332664,-0.005611341,0.012981744,0.054243287,0.058804115,0.0591,-0.0034,-0.003,0,-0.0243
2015-03-01,0.016509424,0.0034,-0.002383753,-0.009769094,0.007000721,-0.004985983,-0.01496132,-0.011118038,-0.0117,0.0141,-0.008,0,0.0175
2015-04-01,-0.018259944,0.0033,0.008363186,0.017399103,-0.013988371,0.014992655,0.042157516,0.008826311,0.0271,0.0086,0.0227,0,-0.033
2015-05-01,0.00597878,0.01,0.004739319,0.005641749,-0.02089565,-0.013997938,-0.003199204,0.005936882,0.005,0.0122,-0.0112,0,0.0429
2015-06-01,-0.010385427,-0.024,-0.021226424,-0.01741468,-0.016322612,-0.038005228,-0.026816917,-0.013046179,-0.0209,0.021,-0.0066,0,0.0199
2015-07-01,0.034122348,0.0137,0.014457838,-0.003687403,0.067793602,-0.005999164,0.020007329,0.005245489,0.0113,-0.0308,-0.0325,0,0.0353
2015-08-01,-0.00822362,-0.0359,-0.057007094,-0.059574976,-0.002285287,-0.04899796,-0.067825837,-0.074097266,-0.0618,0.0115,0.0127,0,-0.0068
2015-09-01,0.011632388,-0.0166,-0.026448373,-0.034975244,0.076086957,-0.022997147,-0.035995067,-0.031841749,-0.0391,-0.0018,-0.0102,0,0.0348
2015-10-01,0.039897116,0.0289,0.062095694,0.068867987,0.044506366,0.040988616,0.061005837,0.069794517,0.0732,-0.024,0.0034,0,-0.0261
2015-11-01,0.005694914,-0.0015,-0.003466272,0.0016,-0.003705213,-0.017980606,-0.005199699,0.004951573,-0.003,0.0172,-0.0199,0,0.0207
2015-12-01,-0.001095007,-0.0042,-0.002597424,-0.028753994,0.014392503,-0.033010826,-0.006363154,-0.032270291,-0.0173,0.0101,-0.017,0.0001,0.0339
2016-01-01,0.001174362,-0.0496,-0.062499982,-0.059210526,0.069401672,-0.013004854,-0.046199588,-0.061041795,-0.0632,-0.0211,0.0076,0.0001,0.0058
2016-02-01,0.030890873,-0.0166,-0.006944438,-0.001210328,0.029209092,0.006008166,-0.015826073,-0.008461447,-0.005,0.0083,-0.0021,0.0002,-0.0271
2016-03-01,0.045739584,0.0058,0.062937007,0.077958799,0.024116452,0.035995111,0.068139365,0.065564904,0.0692,0.0132,0.0042,0.0002,-0.0274
2016-04-01,-0.024820827,0.0031,0.002631601,0.012865351,0.040884697,0.022012999,0.018628345,0.005357848,0.0191,0.0112,0.0298,0.0001,-0.0326
2016-05-01,0.018820424,0.0146,0.007874021,0.006597608,0.005905881,0.003985452,-0.00522505,0.012397621,0.0045,0.0002,-0.0211,0.0001,0.0293
2016-06-01,0.018849484,-0.0232,-0.011718728,-0.005819296,0.046193035,0.042993492,-0.018233661,-0.013132377,-0.0167,-0.0049,-0.0073,0.0002,0.0609
2016-07-01,0.035705028,0.028,0.046113266,0.043930992,0.031118237,0.029012936,0.040125344,0.035485682,0.0448,0.0128,0.0046,0.0002,-0.0171
2016-08-01,0.002936177,0.0115,0.003778369,0.006374314,-0.018401198,-0.001010571,-0.000808289,0.005151285,0.0029,0.003,0.0219,0.0002,-0.0385
2016-09-01,0.001311045,0.0054,0.01254704,0.006275292,-0.01901018,0.009003176,0.014560965,0.003398608,0.009,0.0232,-0.0123,0.0002,0.0162
2016-10-01,-0.023588452,-0.0018,-0.004956614,-0.021039748,0.033912497,-0.018988611,-0.032980574,-0.022096774,-0.0188,-0.0147,0.0409,0.0002,-0.0114
2016-11-01,-0.004128188,0.0024,0.001245284,0.038756921,-0.016718248,-0.022013286,-0.029682932,0.030018143,0.0139,0.0025,0.0439,0.0001,-0.0411
2016-12-01,0.009090797,0.0023,0.01851919,0.020346171,0.05771437,0.018997659,0.027655465,0.008006405,0.0225,-0.0048,0.0276,0.0003,-0.0149
2017-01-01,0.01546028,0.0233,0.033602117,0.024040892,-0.009594794,0.014008245,0.030293919,0.023457771,0.0272,0.004,-0.0053,0.0004,0.0176
2017-02-01,0.027456984,0.0099,0.026007831,0.024902638,0.03459508,0.022006472,0.013862542,0.024161838,0.0228,-0.006,-0.0174,0.0004,-0.0188
2017-03-01,0.022804234,0.0087,0.006337129,0.00615467,0.007599609,-0.001009341,0.033246978,0.010760293,0.0148,0.003,-0.0181,0.0003,0.0012
2017-04-01,0.034280786,0.0072,0.01385388,0.012553191,0.025482168,0.012005468,0.028834099,0.013444622,0.0186,0.0036,-0.0139,0.0005,0.0006
2017-05-01,0.018809862,0.0154,0.023602523,0.007669679,0.044313107,0.004991876,0.044949905,0.010553829,0.022,-0.0043,-0.0259,0.0006,0.0109
2017-06-01,-0.003094703,0.0011,0.002427162,0.01251173,-0.025001886,-0.011998909,-0.005377041,0.007320287,0.006,0.0167,0.0174,0.0006,0.005
2017-07-01,0.005553219,0.0232,0.035108984,0.023118113,0.011892784,0.015003352,0.02774702,0.022237295,0.0251,-0.0005,0.0102,0.0007,0.0177
2017-08-01,0.010936727,0.0069,0.010526315,-0.001409089,0.017106873,0.022007265,0.003802522,0.000379147,0.0013,-0.0014,-0.0134,0.0009,0.0195
2017-09-01,0.02447195,0.0042,0.023148125,0.025852946,-0.006492042,-0.001368405,0.018688048,0.025487967,0.023,0.0127,0.0164,0.0009,0.0001
2017-10-01,0.017584857,0.0153,0.020361989,0.022990764,0.041881118,0.019830999,0.01394484,0.022267394,0.018,-0.0087,-0.009,0.0009,0.0344
2017-11-01,0.02015887,-0.0016,0.017738378,0.025595467,0.026709609,0.005486508,0.008679707,0.025397686,0.0193,-0.0071,-0.0013,0.0008,0.0046
2017-12-01,-0.002474469,0.0119,0.013261433,0.015966662,-0.022901484,0.018207127,0.011574355,0.00753636,0.0138,0.009,0.0011,0.0009,-0.0107
2018-01-01,0.009042479,0.0369,0.054054024,0.047055028,0.021193396,0.006106341,0.045168634,0.050478982,0.0515,-0.0105,-0.0143,0.0011,0.0327
2018-02-01,-0.024769772,-0.0124,-0.038461529,-0.043311765,-0.030090295,-0.024856874,-0.048776294,-0.039683531,-0.04,0.0082,-0.0179,0.0011,0.0243
2018-03-01,0.01219484,-0.0114,-0.018888878,-0.011180124,0.025808496,0.002898335,0.002229453,-0.014135808,-0.0176,0.0123,-0.0042,0.0012,-0.0111
2018-04-01,0.003408573,0.0019,0.011325043,0.002977852,-0.009906871,0.009799926,0.013888054,0.001451443,0.0093,-0.0054,0.0176,0.0014,-0.0049
2018-05-01,0.021005466,0.0095,0.001119805,0.012525515,-0.005302939,0.008989341,-0.010851518,0.01102376,0.0049,0.0188,-0.0452,0.0014,0.0311
2018-06-01,-0.006534381,-0.0139,-0.022371349,-0.005864565,0.012302793,-0.006945581,-0.010191236,-0.008340573,-0.0049,-0.0069,-0.0139,0.0014,-0.0138
2018-07-01,0.009232099,0.0023,0.027459916,0.028804498,0.042107521,-0.000842229,0.023560051,0.024531277,0.0253,-0.0253,0.0119,0.0016,-0.0163
2018-08-01,0.008447448,-0.0031,0.003340797,0.01505174,0.02508518,-0.004489564,-0.011360947,0.015007696,0.0087,-0.005,-0.0419,0.0016,0.0346
2018-09-01,-0.011258107,-0.0001,0.005549353,-0.00428086,0.014611404,0.001141258,-0.000718219,-0.000716121,0.0032,-0.0149,0.003,0.0015,0.0059
2018-10-01,-0.030829106,-0.0453,-0.084988949,-0.081331442,-0.023415342,-0.03373906,-0.076904648,-0.078956243,-0.0819,-0.0253,0.0244,0.0019,-0.0246
2018-11-01,0.017793214,-0.0105,0.001206255,0.014039658,0.033207258,-0.000665994,0.002400727,0.010709872,0.0088,-0.0051,-0.0122,0.0018,-0.0158
2018-12-01,-0.064942397,-0.0191,-0.086733572,-0.088828623,-0.020591376,-0.019231502,-0.043433232,-0.095684463,-0.0767,-0.0101,0.0056,0.0019,0.0146
2019-01-01,0.071750441,0.0386,0.098066322,0.088559344,0.031191599,0.051623049,0.066179456,0.078167251,0.0747,-0.0009,-0.0071,0.0021,-0.0385
2019-02-01,0.01225881,0.0146,0.020125794,0.029980333,0.005997843,0.013292226,0.019928916,0.023129441,0.0294,0.0023,-0.0209,0.0018,0.0036
2019-03-01,0.002356116,0.0028,0.012330467,0.002701192,0.009307712,0.02089748,0.010143124,0.001679604,0.0076,-0.0184,-0.0328,0.0019,0.0289
2019-04-01,0.02637317,0.0168,0.018270371,0.037529029,0.02029238,0.007388371,0.023162693,0.026828605,0.0344,-0.0125,-0.0026,0.0021,-0.0281
2019-05-01,-0.041531842,-0.0218,-0.075358845,-0.070194288,-0.02859404,-0.011851616,-0.037750617,-0.05953747,-0.0599,0.0067,-0.017,0.0021,0.0668
2019-06-01,0.054765256,0.0252,0.062095755,0.068512277,0.014192608,0.04333172,0.053372544,0.062837299,0.0613,-0.0198,-0.0017,0.0018,-0.0107
2019-07-01,0.000189404,-0.0003,-0.001218019,0.003469562,0.018813681,0.010756753,-0.020849421,-0.002825857,-0.0007,-0.0108,-0.0063,0.0019,0.0101
2019-08-01,-0.023014848,-0.001,-0.032926838,-0.030040413,0.009295377,0.006239162,-0.017592817,-0.027807297,-0.0255,-0.014,-0.027,0.0016,0.0432
2019-09-01,0.025862048,-0.0117,0.023959629,0.027637609,0.024895157,-0.001368498,0.021736446,0.022681727,0.019,-0.0048,0.0415,0.0018,-0.0443
2019-10-01,0.023198302,0.0099,0.03448276,0.02464186,0.020198576,0.007342492,0.034086788,0.024271845,0.0256,0.0081,-0.0053,0.0015,-0.0123
2019-11-01,0.015097274,0.0149,0.025,0.028665641,-0.010793913,-0.000235128,0.01320865,0.024914127,0.0274,0.0032,-0.0222,0.0012,-0.0101
2019-12-01,0.0247,0.0201,0.0279,0.034235158,0.019696699,0.019553823,0.030687587,0.030035635,0.0305,0.0127,0.0062,0.0014,0.0027
2020-01-01,-0.0006,-0.0074,-0.024,-0.023968923,0.001091533,0.01797601,-0.017909111,-0.022693575,-0.012,-0.0216,-0.0433,0.0013,0.0415
2020-02-01,-0.079677174,-0.0234,-0.080890982,-0.085612668,-0.070502336,-0.018904877,-0.070207431,-0.083905769,-0.0854,-0.0123,-0.0107,0.0012,0.0019
2020-03-01,-0.154618901,-0.0433,-0.154336705,-0.169985182,-0.08050022,-0.118139074,-0.154081883,-0.156040114,-0.1377,-0.0329,-0.093,0.0012,0.0623
2020-04-01,0.074492617,0.0326,0.114630454,0.122900976,0.019318389,0.044037864,0.078032169,0.099313202,0.1068,0.0234,-0.0462,0,0.003
2020-05-01,0.029991145,0.0169,0.04330177,0.051619634,0.023399785,0.026411984,0.052624504,0.050971837,0.053,0.0265,-0.051,0.0001,0.0157
2020-06-01,-0.007597899,0.0266,0.032425403,0.025605896,-0.048699526,0.022031354,0.031924403,0.029109266,0.0276,0.0019,-0.0173,0.0001,0.0221
2020-07-01,0.021084337,0.0221,0.0351759,0.047583951,0.024195955,0.053088275,0.031741121,0.041122267,0.0434,-0.0126,-0.0364,0.0001,0.0645
2020-08-01,0.025559096,0.044,0.064320345,0.057866503,0.003900034,0.019545189,0.045157421,0.053940995,0.0684,0.0145,-0.0387,0.0001,0.0071
2020-09-01,-0.006835895,-0.0282,-0.028506256,-0.030343337,-0.047109781,-0.023370508,-0.028746844,-0.026195947,-0.03,0.0239,-0.0246,0.0001,0.024
2020-10-01,-0.035660007,0.0049,-0.041079815,-0.012560014,-0.040300851,-0.014481658,-0.040940509,-0.020422173,-0.026,0.0122,0.0204,0.0001,-0.0169
2020-11-01,0.098614423,0.0864,0.117503047,0.128630345,-0.029395249,0.063488653,0.151102624,0.124824807,0.1334,0.0067,0.0434,0.0001,-0.1092
2020-12-01,0.066761268,0.0556,0.043100554,0.054081083,0.03969312,0.039244638,0.048054797,0.045674013,0.0482,0.0331,-0.012,0.0001,-0.0009
2021-01-01,-0.000207251,-0.0031,-0.004246272,0,-0.000943556,-0.003888432,-0.011284146,0.010538075,-0.0055,0.0297,0.0101,0,0.0264
2021-02-01,0.03478751,0.0509,0.026652431,0.045540797,0.000193733,-0.032490053,0.011412931,0.031653033,0.0288,0.0043,0.0746,0,-0.0652
2021-03-01,0.068410202,-0.0002,0.051921117,0.0398227,0.00038739,7.76E-05,0.025887159,0.038075508,0.0311,-0.0234,0.0557,0,-0.0483
2021-04-01,0.054414768,0.023,0.024679151,0.040647132,0.056803538,0.051003941,0.032351185,0.028248976,0.0449,-0.0104,-0.0197,0,0.0205
2021-05-01,0.031060099,0.0028,0.01830443,0.01793317,0.043588456,0.038356488,0.033265837,0.020847276,0.0165,-0.0044,0.0414,0,0.0069
2021-06-01,-0.021077221,-0.0061,0,0.00418251,-0.043096733,0.008317811,-0.01637738,0.002163438,0.0101,-0.0029,-0.0525,0,0.0017
2021-07-01,0.015235428,-0.0049,0.008514656,0.006941815,0.07080091,0.039849963,0.008016698,0.004611912,0.0104,-0.0232,-0.0167,0,-0.0083