Date,SPX_close,SPX_ret,SPX_TR_close,SPX_TR_ret
01/7/1991,387.81,NA,439.65,NA
01/8/1991,395.43,0.019648797,450.06,0.023677926
03/9/1991,387.86,-0.019143717,442.53,-0.016731103
01/10/1991,392.46,0.011859949,448.48,0.013445416
01/11/1991,375.22,-0.043928044,430.41,-0.040291652
02/12/1991,417.09,0.111587868,479.63,0.114356079
02/1/1992,408.79,-0.019899782,470.7,-0.018618518
03/2/1992,412.7,0.009564813,476.79,0.012938177
02/3/1992,403.69,-0.021831839,467.52,-0.019442522
01/4/1992,414.95,0.02789269,481.25,0.029367728
01/5/1992,415.35,0.000963972,483.6,0.004883117
01/6/1992,408.14,-0.017358854,476.41,-0.014867659
01/7/1992,424.21,0.039373744,495.87,0.040847169
03/8/1992,414.03,-0.023997548,485.72,-0.020469075
01/9/1992,417.8,0.00910562,491.43,0.011755744
01/10/1992,418.68,0.002106271,493.13,0.003459292
02/11/1992,431.35,0.030261775,509.92,0.034047817
01/12/1992,435.71,0.010107801,516.18,0.012276436
04/1/1993,438.78,0.007045971,520.49,0.0083498
01/2/1993,443.38,0.010483614,527.59,0.013640992
01/3/1993,451.67,0.01869728,538.72,0.021095927
01/4/1993,440.19,-0.025416787,525.7,-0.024168399
03/5/1993,450.19,0.022717463,539.76,0.026745292
01/6/1993,450.53,0.000755237,541.34,0.002927227
01/7/1993,448.13,-0.005327059,539.16,-0.004027044
02/8/1993,463.56,0.034431973,559.62,0.037947919
01/9/1993,458.93,-0.00998792,555.33,-0.007665916
01/10/1993,467.83,0.019392936,566.82,0.0206904
01/11/1993,461.79,-0.012910673,561.41,-0.009544476
01/12/1993,466.45,0.010091167,568.2,0.012094548
03/1/1994,481.61,0.032500804,587.52,0.034002112
01/2/1994,467.14,-0.030045057,571.57,-0.027148012
01/3/1994,445.77,-0.045746457,546.65,-0.043599209
04/4/1994,450.91,0.01153061,553.66,0.012823562
02/5/1994,456.5,0.012397152,562.75,0.016418018
01/6/1994,444.27,-0.0267908,548.96,-0.024504665
01/7/1994,458.26,0.03148986,566.98,0.032825707
01/8/1994,475.49,0.037598743,590.23,0.041006737
01/9/1994,462.69,-0.026919599,575.8,-0.024448097
03/10/1994,472.35,0.02087791,588.73,0.022455714
01/11/1994,453.69,-0.039504605,567.29,-0.036417373
01/12/1994,459.27,0.012299147,575.71,0.014842497
03/1/1995,470.42,0.024277658,590.64,0.025933196
01/2/1995,487.39,0.036074147,613.65,0.038957741
01/3/1995,500.71,0.027329244,631.76,0.029511937
03/4/1995,514.71,0.027960296,650.36,0.02944156
01/5/1995,533.4,0.03631171,676.36,0.039977858
01/6/1995,544.75,0.02127859,692.07,0.023227275
03/7/1995,562.06,0.031776044,715.02,0.033161385
01/8/1995,561.88,-0.000320251,716.82,0.002517412
01/9/1995,584.41,0.04009753,747.07,0.042200273
02/10/1995,581.5,-0.004979381,744.4,-0.003573962
01/11/1995,605.37,0.041049011,777.07,0.043887695
01/12/1995,615.93,0.017443877,792.04,0.019264674
02/1/1996,636.02,0.032617343,819,0.034038685
01/2/1996,640.43,0.006933744,826.59,0.009267399
01/3/1996,645.5,0.007916556,834.55,0.009629925
01/4/1996,654.17,0.013431448,846.85,0.014738482
01/5/1996,669.12,0.022853387,868.69,0.025789691
03/6/1996,670.63,0.002256695,872.01,0.003821847
01/7/1996,639.95,-0.045748028,833.48,-0.044185273
01/8/1996,651.99,0.01881397,851.06,0.021092288
03/9/1996,687.31,0.05417261,898.97,0.056294503
01/10/1996,705.27,0.026130858,923.76,0.027576004
01/11/1996,757.02,0.073376154,993.58,0.075582402
02/12/1996,740.74,-0.021505376,973.9,-0.019807162
02/1/1997,786.16,0.061317061,1034.74,0.06247048
03/2/1997,790.82,0.005927547,1042.85,0.007837718
03/3/1997,757.12,-0.042613996,1000,-0.041089323
01/4/1997,801.34,0.058405537,1059.7,0.0597
01/5/1997,848.28,0.058576884,1124.22,0.060885156
02/6/1997,885.14,0.043452634,1174.59,0.044804398
01/7/1997,954.29,0.078123235,1268.05,0.07956819
01/8/1997,899.47,-0.05744585,1197.01,-0.056023027
02/9/1997,947.28,0.053153524,1262.56,0.054761447
01/10/1997,914.62,-0.034477662,1220.4,-0.033392472
03/11/1997,955.4,0.044586823,1276.89,0.046288102
01/12/1997,970.43,0.015731631,1298.82,0.017174541
02/1/1998,980.28,0.01015014,1313.19,0.011063889
02/2/1998,1049.34,0.070449259,1407.9,0.072122084
02/3/1998,1101.75,0.04994568,1480,0.051211024
01/4/1998,1111.75,0.009076469,1494.89,0.010060811
01/5/1998,1090.82,-0.018826175,1469.19,-0.0171919
01/6/1998,1133.84,0.039438221,1528.87,0.040621022
01/7/1998,1120.67,-0.011615395,1512.59,-0.010648387
03/8/1998,957.28,-0.145796711,1293.9,-0.144579827
01/9/1998,1017.01,0.062395537,1376.79,0.064062138
01/10/1998,1098.67,0.080294196,1488.78,0.081341381
02/11/1998,1163.63,0.059126034,1579.02,0.060613388
01/12/1998,1229.23,0.056375308,1670.01,0.057624349
04/1/1999,1279.64,0.041009412,1739.84,0.041814121
01/2/1999,1238.33,-0.032282517,1685.77,-0.03107757
01/3/1999,1286.37,0.038794182,1753.21,0.040005457
01/4/1999,1335.18,0.037943982,1821.11,0.03872896
03/5/1999,1301.84,-0.024970416,1778.1,-0.023617464
01/6/1999,1372.71,0.054438333,1876.78,0.055497441
01/7/1999,1328.72,-0.032046099,1818.18,-0.031223692
02/8/1999,1320.41,-0.006254139,1809.19,-0.004944505
01/9/1999,1282.71,-0.028551738,1759.59,-0.027415584
01/10/1999,1362.93,0.062539467,1870.94,0.063281787
01/11/1999,1388.91,0.019061874,1908.97,0.020326681
01/12/1999,1469.25,0.057843921,2021.4,0.058895635
03/1/2000,1394.46,-0.050903522,1919.84,-0.050242406
01/2/2000,1366.42,-0.020108142,1883.5,-0.018928661
01/3/2000,1498.58,0.096719896,2067.76,0.097828511
03/4/2000,1452.43,-0.03079582,2005.55,-0.030085697
01/5/2000,1420.6,-0.021914998,1964.4,-0.020518062
01/6/2000,1454.6,0.023933549,2012.83,0.024653838
03/7/2000,1430.83,-0.016341262,1981.36,-0.015634703
01/8/2000,1517.68,0.060699035,2104.43,0.062113902
01/9/2000,1436.51,-0.053482948,1993.33,-0.052793393
02/10/2000,1429.4,-0.004949496,1984.91,-0.004224087
01/11/2000,1314.95,-0.08006856,1828.42,-0.078839847
01/12/2000,1320.28,0.004053386,1837.37,0.004894937
02/1/2001,1366.01,0.034636592,1902.55,0.035474619
01/2/2001,1239.94,-0.092290686,1729.08,-0.09117763
01/3/2001,1160.33,-0.06420472,1619.54,-0.063351609
02/4/2001,1249.46,0.076814355,1745.39,0.07770725
01/5/2001,1255.82,0.005090199,1757.09,0.006703373
01/6/2001,1224.42,-0.025003583,1714.32,-0.024341383
02/7/2001,1211.23,-0.010772447,1697.45,-0.009840637
01/8/2001,1133.58,-0.064108386,1591.18,-0.062605673
04/9/2001,1040.94,-0.08172339,1462.69,-0.080751392
01/10/2001,1059.78,0.018099026,1490.58,0.019067608
01/11/2001,1139.45,0.07517598,1604.92,0.076708395
03/12/2001,1148.08,0.007573829,1618.98,0.008760561
02/1/2002,1130.2,-0.015573828,1595.35,-0.01459561
01/2/2002,1106.73,-0.020766236,1564.59,-0.019281036
01/3/2002,1147.39,0.036738861,1623.43,0.037607296
01/4/2002,1076.92,-0.061417652,1525,-0.060630886
01/5/2002,1067.14,-0.009081455,1513.77,-0.007363934
03/6/2002,989.81,-0.072464719,1405.94,-0.07123275
01/7/2002,911.62,-0.078994959,1296.34,-0.077954963
01/8/2002,916.07,0.00488142,1304.86,0.00657235
03/9/2002,815.28,-0.110024343,1163.04,-0.108685989
01/10/2002,885.76,0.086448827,1265.41,0.088019329
01/11/2002,936.31,0.057069635,1339.89,0.058858394
02/12/2002,879.82,-0.060332582,1261.18,-0.058743628
02/1/2003,855.7,-0.027414698,1228.14,-0.026197688
03/2/2003,841.15,-0.017003623,1209.71,-0.015006432
03/3/2003,848.18,0.008357606,1221.46,0.009713072
01/4/2003,916.92,0.081044118,1322.07,0.082368641
01/5/2003,963.59,0.050898661,1391.72,0.052682536
02/6/2003,974.5,0.011322243,1409.48,0.012761188
01/7/2003,990.31,0.016223704,1434.33,0.017630616
01/8/2003,1008.01,0.017873191,1462.3,0.019500394
02/9/2003,995.97,-0.011944326,1446.77,-0.010620256
01/10/2003,1050.71,0.054961495,1528.62,0.0565743
03/11/2003,1058.2,0.007128513,1542.07,0.008798786
01/12/2003,1111.92,0.050765451,1622.94,0.052442496
02/1/2004,1131.13,0.017276423,1652.73,0.018355577
02/2/2004,1144.94,0.01220903,1675.7,0.013898217
01/3/2004,1126.21,-0.016358936,1650.42,-0.015086233
01/4/2004,1107.3,-0.016790829,1624.51,-0.015699034
03/5/2004,1120.68,0.012083446,1646.8,0.013721061
01/6/2004,1140.84,0.017989078,1678.83,0.019449842
01/7/2004,1101.72,-0.034290523,1623.26,-0.033100433
02/8/2004,1104.24,0.002287333,1629.83,0.004047411
01/9/2004,1114.58,0.009363906,1647.48,0.01082935
01/10/2004,1130.2,0.014014248,1672.65,0.015277879
01/11/2004,1173.82,0.038594939,1740.33,0.040462739
01/12/2004,1211.92,0.032458128,1799.55,0.034028029
03/1/2005,1181.27,-0.025290448,1755.68,-0.024378317
01/2/2005,1203.6,0.018903384,1792.63,0.021045976
01/3/2005,1180.59,-0.019117647,1760.89,-0.017705829
01/4/2005,1156.85,-0.02010859,1727.49,-0.018967681
02/5/2005,1191.5,0.029952025,1782.46,0.031820734
01/6/2005,1191.33,-0.000142677,1784.99,0.001419387
01/7/2005,1234.18,0.035968204,1851.37,0.037187883
01/8/2005,1220.33,-0.011222026,1834.48,-0.009122974
01/9/2005,1228.81,0.00694894,1849.33,0.008094937
03/10/2005,1207.01,-0.017740741,1818.5,-0.016670902
01/11/2005,1249.48,0.035186121,1887.28,0.037822381
01/12/2005,1248.29,-0.000952396,1887.94,0.00034971
03/1/2006,1280.08,0.025466839,1937.93,0.026478596
01/2/2006,1280.66,0.000453097,1943.19,0.002714236
01/3/2006,1294.83,0.011064607,1967.38,0.012448603
03/4/2006,1310.61,0.012186928,1993.79,0.013423945
01/5/2006,1270.09,-0.030916901,1936.41,-0.02877936
01/6/2006,1270.2,8.6608E-05,1939.03,0.001353019
03/7/2006,1276.66,0.005085813,1951,0.00617319
01/8/2006,1303.82,0.021274263,1997.42,0.023792927
01/9/2006,1335.85,0.024566274,2048.89,0.025768241
02/10/2006,1377.94,0.031508029,2115.65,0.032583496
01/11/2006,1400.63,0.01646661,2155.89,0.019020159
01/12/2006,1418.3,0.012615751,2186.13,0.01402669
03/1/2007,1438.24,0.014059085,2219.19,0.015122614
01/2/2007,1406.82,-0.021846145,2175.78,-0.019561191
01/3/2007,1420.86,0.009979955,2200.12,0.011186793
02/4/2007,1482.37,0.043290683,2297.58,0.044297584
01/5/2007,1530.62,0.032549229,2377.75,0.034893235
01/6/2007,1503.35,-0.01781631,2338.25,-0.016612344
02/7/2007,1455.27,-0.031981907,2265.75,-0.031006094
01/8/2007,1473.99,0.012863592,2299.71,0.014988414
04/9/2007,1526.75,0.035794001,2385.72,0.037400368
01/10/2007,1549.38,0.014822335,2423.67,0.015907148
01/11/2007,1481.14,-0.044043424,2322.34,-0.041808497
03/12/2007,1468.36,-0.008628489,2306.23,-0.006936969
02/1/2008,1378.55,-0.061163475,2167.9,-0.059981008
01/2/2008,1330.63,-0.034761162,2097.48,-0.032483048
03/3/2008,1322.7,-0.005959583,2088.42,-0.004319469
01/4/2008,1385.59,0.047546685,2190.13,0.048701889
01/5/2008,1400.38,0.010674153,2218.5,0.012953569
02/6/2008,1280,-0.085962382,2031.47,-0.08430471
01/7/2008,1267.38,-0.009859375,2014.39,-0.008407705
01/8/2008,1282.83,0.012190503,2043.53,0.014465918
02/9/2008,1166.36,-0.090791453,1861.44,-0.089105616
01/10/2008,968.75,-0.169424534,1548.81,-0.167950619
03/11/2008,896.24,-0.074849032,1437.68,-0.071751861
01/12/2008,903.25,0.007821566,1452.98,0.010642146
02/1/2009,825.88,-0.085657348,1330.51,-0.084288841
02/2/2009,735.09,-0.109931225,1188.84,-0.106477967
02/3/2009,797.87,0.085404508,1292.98,0.087597995
01/4/2009,872.81,0.093925076,1416.73,0.095709137
01/5/2009,919.14,0.053081427,1495.97,0.055931617
01/6/2009,919.32,0.000195835,1498.94,0.001985334
01/7/2009,987.48,0.074141757,1612.31,0.075633448
03/8/2009,1020.62,0.033560173,1670.52,0.036103479
01/9/2009,1057.08,0.035723384,1732.86,0.037317721
01/10/2009,1036.19,-0.019761986,1700.67,-0.018576227
02/11/2009,1095.63,0.057363997,1802.68,0.059982242
01/12/2009,1115.1,0.017770598,1837.5,0.019315686
04/1/2010,1073.87,-0.036974262,1771.4,-0.035972789
01/2/2010,1104.49,0.028513693,1826.27,0.0309755
01/3/2010,1169.43,0.058796368,1936.48,0.060347046
01/4/2010,1186.69,0.014759327,1967.05,0.015786375
03/5/2010,1089.41,-0.081975916,1809.98,-0.079850538
01/6/2010,1030.71,-0.053882377,1715.23,-0.052348645
01/7/2010,1101.6,0.068777833,1835.4,0.070060575
02/8/2010,1049.33,-0.047449165,1752.55,-0.045140024
01/9/2010,1141.2,0.087551104,1908.95,0.089241391
01/10/2010,1183.26,0.036855941,1981.59,0.038052332
01/11/2010,1180.55,-0.002290283,1981.84,0.000126161
01/12/2010,1257.64,0.065300072,2114.29,0.066831833
03/1/2011,1286.12,0.02264559,2164.4,0.023700628
01/2/2011,1327.22,0.031956583,2238.55,0.034258917
01/3/2011,1325.83,-0.001047302,2239.44,0.000397579
01/4/2011,1363.61,0.028495358,2305.76,0.029614546
02/5/2011,1345.2,-0.013500928,2279.66,-0.011319478
01/6/2011,1320.64,-0.018257508,2241.66,-0.016669152
01/7/2011,1292.28,-0.021474437,2196.08,-0.020333146
01/8/2011,1218.89,-0.056791098,2076.78,-0.054324068
01/9/2011,1131.42,-0.071762013,1930.79,-0.070296324
03/10/2011,1253.3,0.107723038,2141.81,0.109292051
01/11/2011,1246.96,-0.005058645,2137.08,-0.002208413
01/12/2011,1257.6,0.008532752,2158.94,0.01022891
03/1/2012,1312.41,0.043583015,2255.69,0.044813659
01/2/2012,1365.68,0.04058945,2353.23,0.043241758
01/3/2012,1408.47,0.031332377,2430.67,0.032907961
02/4/2012,1397.91,-0.007497497,2415.42,-0.00627399
01/5/2012,1310.33,-0.062650671,2270.25,-0.060101349
01/6/2012,1362.16,0.039554921,2363.79,0.041202511
02/7/2012,1379.32,0.012597639,2396.62,0.013888713
01/8/2012,1406.58,0.019763362,2450.6,0.022523387
04/9/2012,1440.67,0.02423609,2513.93,0.025842651
01/10/2012,1412.16,-0.019789404,2467.51,-0.018465112
01/11/2012,1416.18,0.002846703,2481.82,0.005799369
03/12/2012,1426.19,0.007068311,2504.44,0.009114279
02/1/2013,1498.11,0.050428064,2634.16,0.05179601
01/2/2013,1514.68,0.011060603,2669.92,0.013575485
01/3/2013,1569.19,0.035987799,2770.05,0.037502996
01/4/2013,1597.57,0.018085764,2823.42,0.0192668
01/5/2013,1630.74,0.020762783,2889.46,0.023390073
03/6/2013,1606.28,-0.014999325,2850.66,-0.013428115
01/7/2013,1685.73,0.049462111,2995.72,0.050886461
01/8/2013,1632.97,-0.031298013,2908.96,-0.028961318
03/9/2013,1681.55,0.029749475,3000.18,0.031358286
01/10/2013,1756.54,0.04459576,3138.09,0.045967242
01/11/2013,1805.81,0.028049461,3233.72,0.030473951
02/12/2013,1848.36,0.023562833,3315.59,0.025317591
02/1/2014,1782.59,-0.035582895,3200.95,-0.034576048
03/2/2014,1859.45,0.043117038,3347.38,0.045745794
03/3/2014,1872.34,0.006932157,3375.51,0.008403587
01/4/2014,1883.95,0.006200797,3400.46,0.007391476
01/5/2014,1923.57,0.021030282,3480.29,0.023476236
02/6/2014,1960.23,0.019058313,3552.18,0.020656325
01/7/2014,1930.67,-0.015079863,3503.19,-0.013791531
01/8/2014,2003.37,0.037655322,3643.33,0.04000354
02/9/2014,1972.29,-0.015513859,3592.25,-0.014020141
01/10/2014,2018.05,0.023201456,3679.99,0.024424803
03/11/2014,2067.56,0.024533584,3778.96,0.026894095
01/12/2014,2058.9,-0.004188512,3769.44,-0.002519212
02/1/2015,1994.99,-0.031040847,3656.28,-0.030020374
02/2/2015,2104.5,0.054892506,3866.42,0.057473716
02/3/2015,2067.89,-0.017396056,3805.27,-0.015815664
01/4/2015,2085.51,0.008520763,3841.78,0.009594589
01/5/2015,2107.39,0.010491439,3891.18,0.012858623
01/6/2015,2063.11,-0.021011773,3815.85,-0.019359166
01/7/2015,2103.84,0.01974204,3895.8,0.020952081
03/8/2015,1972.18,-0.062580805,3660.75,-0.060334206
01/9/2015,1920.03,-0.02644282,3570.17,-0.024743563
01/10/2015,2079.36,0.082983078,3871.33,0.084354527
02/11/2015,2080.41,0.000504963,3882.84,0.002973138
01/12/2015,2043.94,-0.017530198,3821.6,-0.015771961
04/1/2016,1940.24,-0.050735344,3631.96,-0.049623194
01/2/2016,1932.23,-0.004128355,3627.06,-0.001349134
01/3/2016,2059.74,0.065991109,3873.11,0.067837312
01/4/2016,2065.3,0.00269937,3888.13,0.003878021
02/5/2016,2096.96,0.015329492,3957.95,0.017957219
01/6/2016,2098.86,0.000906074,3968.21,0.002592251
01/7/2016,2173.6,0.035609807,4114.51,0.036868008
01/8/2016,2170.95,-0.001219176,4120.29,0.001404785
01/9/2016,2168.27,-0.001234483,4121.06,0.00018688
03/10/2016,2126.15,-0.019425625,4045.89,-0.018240453
01/11/2016,2198.81,0.034174447,4195.73,0.037035115
01/12/2016,2238.83,0.018200754,4278.66,0.019765333
03/1/2017,2278.87,0.017884341,4359.81,0.018966218
01/2/2017,2363.64,0.037198261,4532.93,0.039708152
01/3/2017,2362.72,-0.00038923,4538.21,0.00116481
03/4/2017,2384.2,0.009091217,4584.82,0.010270569
01/5/2017,2411.8,0.01157621,4649.34,0.014072526
01/6/2017,2423.41,0.004813832,4678.36,0.006241746
03/7/2017,2470.3,0.019348769,4774.56,0.020562761
01/8/2017,2471.65,0.000546492,4789.18,0.003062062
01/9/2017,2519.36,0.019302895,4887.97,0.020627748
02/10/2017,2575.26,0.022188175,5002.03,0.02333484
01/11/2017,2647.58,0.028082601,5155.44,0.030669548
01/12/2017,2673.61,0.00983162,5212.76,0.011118353
02/1/2018,2823.81,0.056178725,5511.21,0.057253739
01/2/2018,2713.83,-0.03894738,5308.09,-0.03685579
01/3/2018,2640.87,-0.026884514,5173.19,-0.025414038
02/4/2018,2648.05,0.002718801,5193.04,0.003837091
01/5/2018,2705.27,0.021608353,5318.1,0.024082233
01/6/2018,2718.37,0.0048424,5350.83,0.006154454
02/7/2018,2816.29,0.036021586,5549.96,0.037214787
01/8/2018,2901.52,0.030263219,5730.8,0.032584019
04/9/2018,2913.98,0.004294301,5763.42,0.00569205
01/10/2018,2711.74,-0.069403359,5369.49,-0.068350042
01/11/2018,2760.17,0.017859382,5478.91,0.020378099
03/12/2018,2506.85,-0.091776956,4984.22,-0.090289857
02/1/2019,2704.1,0.078684405,5383.63,0.080134906
01/2/2019,2784.49,0.02972893,5556.49,0.032108447
01/3/2019,2834.4,0.017924288,5664.46,0.019431332
01/4/2019,2945.83,0.039313435,5893.81,0.040489296
01/5/2019,2752.06,-0.065777726,5519.27,-0.063548028
03/6/2019,2941.76,0.068930183,5908.25,0.070476712
01/7/2019,2980.38,0.013128195,5993.17,0.014373122
01/8/2019,2926.46,-0.018091653,5898.23,-0.015841366
03/9/2019,2976.74,0.017181168,6008.59,0.018710698
01/10/2019,3037.56,0.020431747,6138.73,0.021658992
01/11/2019,3140.98,0.034047064,6361.56,0.036299039
02/12/2019,3230.78,0.028589803,6553.57,0.030182848
02/1/2020,3225.52,-0.00162809,6551,-0.000392153
03/2/2020,2954.22,-0.084110469,6011.73,-0.08231873
02/3/2020,2584.59,-0.125119321,5269.2,-0.123513531
01/4/2020,2912.43,0.126844103,5944.68,0.128194033
01/5/2020,3044.31,0.045281775,6227.81,0.047627459
01/6/2020,3100.29,0.018388403,6351.67,0.019888211
01/7/2020,3271.12,0.055101297,6709.81,0.056385171
03/8/2020,3500.31,0.070064687,7192.11,0.07187983
01/9/2020,3363,-0.039227954,6918.83,-0.037997194
01/10/2020,3269.96,-0.027665775,6734.84,-0.026592646
02/11/2020,3621.63,0.107545658,7472.06,0.109463625
01/12/2020,3756.07,0.037121407,7759.35,0.038448567
04/1/2021,3714.24,-0.01113664,7681.01,-0.010096207
01/2/2021,3811.15,0.026091475,7892.81,0.027574499
01/3/2021,3972.89,0.042438634,8238.48,0.043795556
01/4/2021,4181.17,0.052425313,8678.16,0.053369068
03/5/2021,4204.11,0.005486503,8738.77,0.006984199
01/6/2021,4297.5,0.022213976,8942.78,0.023345391
01/7/2021,4395.26,0.022748109,9155.21,0.023754358
02/8/2021,4522.68,0.028990321,9433.58,0.030405638